race,race_time,grade,distance_m,horse,tab_no,snapshot,snapshot_time_local,win_price,tag,result,sp,margin_l,paper_bet
4,1:50pm,Group 3,1100,Paradoxium,1,early,~1:16pm,3.1,FAVOURITE,,,,
4,1:50pm,Group 3,1100,Hard Kick,2,early,~1:16pm,8.0,MOVER,,,,
4,1:50pm,Group 3,1100,Big Sky,3,early,~1:16pm,6.0,,,,,
4,1:50pm,Group 3,1100,Buggsy,4,early,~1:16pm,13.0,,,,,
4,1:50pm,Group 3,1100,Steel Will,5,early,~1:16pm,8.5,,,,,
4,1:50pm,Group 3,1100,Mbube,6,early,~1:16pm,3.4,,,,,
4,1:50pm,Group 3,1100,Knurl,7,early,~1:16pm,151.0,,,,,
4,1:50pm,Group 3,1100,Organised Crime,8,early,~1:16pm,15.0,,,,,
4,1:50pm,Group 3,1100,Salamanca Six,9,early,~1:16pm,81.0,,,,,
4,1:50pm,Group 3,1100,Honour The Bassett,10,early,~1:16pm,31.0,,,,,
5,2:30pm,Group 3,2500,Taramansour,1,early,~1:16pm,35.0,,,,,
5,2:30pm,Group 3,2500,Litzdeel,2,early,~1:16pm,4.0,,,,,
5,2:30pm,Group 3,2500,Nearco Frod,3,early,~1:16pm,3.9,FAVOURITE,,,,
5,2:30pm,Group 3,2500,Jennivamoose,4,early,~1:16pm,5.5,,,,,
5,2:30pm,Group 3,2500,Grand Pierro,5,early,~1:16pm,34.0,,,,,
5,2:30pm,Group 3,2500,Shockletz,6,early,~1:16pm,4.2,MOVER,,,,
5,2:30pm,Group 3,2500,Tajanis,7,early,~1:16pm,35.0,,,,,
5,2:30pm,Group 3,2500,Chief Little Rock,8,early,~1:16pm,67.0,,,,,
5,2:30pm,Group 3,2500,Think Giant,9,early,~1:16pm,6.5,,,,,
5,2:30pm,Group 3,2500,Suffolk Star,10,early,~1:16pm,27.0,,,,,
5,2:30pm,Group 3,2500,Beach Pad,11,early,~1:16pm,71.0,,,,,
6,3:05pm,Listed,1400,Cafe Millenium,1,early,~1:16pm,5.5,MOVER,,,,
6,3:05pm,Listed,1400,Plymouth,2,early,~1:16pm,35.0,,,,,
6,3:05pm,Listed,1400,Cote Atlantique,3,early,~1:16pm,26.0,,,,,
6,3:05pm,Listed,1400,Run Harry Run,4,early,~1:16pm,13.0,,,,,
6,3:05pm,Listed,1400,Immediacy,5,early,~1:16pm,51.0,,,,,
6,3:05pm,Listed,1400,Lim's Saltoro,6,early,~1:16pm,12.0,,,,,
6,3:05pm,Listed,1400,Fancify,7,early,~1:16pm,8.0,,,,,
6,3:05pm,Listed,1400,Sass Appeal,8,early,~1:16pm,2.8,FAVOURITE,,,,
6,3:05pm,Listed,1400,Aztec Ruler,9,early,~1:16pm,27.0,,,,,
6,3:05pm,Listed,1400,Just Party,10,early,~1:16pm,5.5,,,,,
6,3:05pm,Listed,1400,Welcometotheshow,11,early,~1:16pm,11.0,,,,,
6,3:05pm,Listed,1400,Dark Journey,12,early,~1:16pm,151.0,,,,,
6,3:05pm,Listed,1400,Russian Meteor,13,early,~1:16pm,91.0,,,,,
7,3:40pm,Group 2,1200,Desert Lightning,1,early,~1:16pm,31.0,,,,,
7,3:40pm,Group 2,1200,Arkansaw Kid,2,early,~1:16pm,17.0,,,,,
7,3:40pm,Group 2,1200,Hedged,3,early,~1:16pm,15.0,,,,,
7,3:40pm,Group 2,1200,King Of Roseau,4,early,~1:16pm,15.0,,,,,
7,3:40pm,Group 2,1200,Oliveanotherday,5,early,~1:16pm,1.6,FAVOURITE,,,,
7,3:40pm,Group 2,1200,Abounding,6,early,~1:16pm,23.0,,,,,
7,3:40pm,Group 2,1200,Disneck,7,early,~1:16pm,27.0,,,,,
7,3:40pm,Group 2,1200,Enriched,8,early,~1:16pm,20.0,,,,,
7,3:40pm,Group 2,1200,Recon,9,early,~1:16pm,16.0,,,,,
7,3:40pm,Group 2,1200,Wonder Boy,11,early,~1:16pm,67.0,,,,,
7,3:40pm,Group 2,1200,Enxuto,12,early,~1:16pm,126.0,,,,,
7,3:40pm,Group 2,1200,Losesomewinmore,13,early,~1:16pm,12.0,,,,,
7,3:40pm,Group 2,1200,De Bergerac,14,early,~1:16pm,27.0,,,,,
7,3:40pm,Group 2,1200,Royal Insignia,15,early,~1:16pm,26.0,,,,,
8,4:20pm,Group 1,1600,Mr Brightside,1,early,~1:16pm,8.0,,,,,
8,4:20pm,Group 1,1600,Half Yours,2,early,~1:16pm,51.0,,,,,
8,4:20pm,Group 1,1600,Light Infantry Man,3,early,~1:16pm,35.0,,,,,
